2324	1489	2298	1489
2329	1486	2293	1486
2332	1482	2290	1482
2335	1479	2288	1479
2335	1476	2286	1476
2335	1473	2284	1473
2335	1470	2283	1470
2333	1466	2282	1466
2333	1463	2282	1463
2334	1460	2281	1460
2334	1457	2281	1457
2335	1453	2282	1453
2337	1450	2283	1450
2337	1447	2284	1447
2334	1444	2285	1444
2331	1440	2286	1440
2328	1437	2288	1437
2324	1434	2291	1434
2320	1431	2294	1431
2315	1428	2298	1428
2279	1457	2279	1459
2282	1456	2282	1456
2285	1456	2285	1460
2289	1456	2289	1461
2292	1455	2292	1461
2295	1455	2295	1461
2299	1455	2299	1461
2302	1455	2302	1461
2305	1455	2305	1461
2308	1455	2308	1461
2312	1486	2312	1431
2315	1486	2315	1456
2318	1457	2318	1463
2322	1457	2322	1463
2325	1484	2325	1437
2328	1483	2328	1438
2331	1458	2331	1463
2334	1459	2334	1467
2337	1444	2337	1462
