2324	1489	2298	1489 x1
2329	1486	2293	1486 x2
2332	1482	2290	1482 x3
2335	1479	2288	1479 x4
2335	1476	2286	1476 x5
2335	1473	2284	1473 x6
2335	1470	2283	1470 x7
2335	1466	2282	1466 x8
2335	1463	2282	1463 x9
2338	1460	2281	1460 x10
2338	1457	2281	1457 x11
2338	1453	2282	1453 x12
2338	1450	2283	1450 x13
2338	1447	2284	1447 x14
2334	1444	2285	1444 x15
2331	1440	2286	1440 x16
2328	1437	2288	1437 x17
2324	1434	2291	1434 x18
2320	1431	2294	1431 x19
2315	1428	2298	1428 x20
2279	1457	2279	1459 y01
2282	1466	2282	1450 y02
2285	1476	2285	1440 y03
2289	1482	2289	1434 y04
2292	1485	2292	1431 y05
2295	1485	2295	1431 y06
2299	1488	2299	1421 y07
2302	1488	2302	1421 y08
2305	1488	2305	1421 y09
2308	1488	2308	1421 y10
2312	1488	2312	1421 y11
2315	1488	2315	1421 y12
2318	1488	2318	1421 y13
2322    1488	2322	1432 y14
2325	1488	2325	1436 y15
2328	1483	2328	1438 y16
2331	1480	2331	1443 y17
2334	1475	2334	1448 y18
2337	1470	2337	1450 y19
